t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs
0,0.0337749525404659,0.00395371420074525,0.0134131111767378,0.00436220896433008,0.280354955988906,0.0989991147664324
3,NaN,0.00461005353744344,NaN,NaN,NaN,NaN
3.5,NaN,NaN,0.00473942525094024,NaN,0.289352618868662,0.175220594802782
4,0.0443640605007141,NaN,NaN,NaN,NaN,NaN
4.5,NaN,NaN,NaN,0.00372366722448436,NaN,NaN
6.5,NaN,0.00461392602387681,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,0.2424988989216,0.183407952053178
7.5,NaN,NaN,0.00450186383459268,NaN,NaN,NaN
8,0.0460739289024268,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,0.00706865924534633,NaN,NaN
10,0.043875628094415,0.00795338207421348,0.00385149420529602,NaN,0.253130883996122,0.202634207202039
15,0.0488194849701486,0.00618535397021941,0.00352455452071989,0.00827103383589248,0.191619078474978,0.142104198227467
20,NaN,0.00733993583017349,0.00366012195850465,0.00751330918316689,0.205479959881102,0.233629461678817
25,0.0434956546142796,0.00579180985610315,0.00366863919183997,NaN,0.192242340203405,0.203562518939598
30,0.0555888039206746,0.00774833876339781,NaN,0.00837134848801746,0.182215632647418,0.205549344501241
35,NaN,0.00657637086022671,0.00251333825857928,0.0101203223269502,NaN,NaN
40,0.0517004975068344,0.00788764212563565,0.00286439618255471,NaN,0.141517763427893,0.181248491384857
50,0.0494080785428184,0.00711426963594621,0.00294090086085064,0.01074485822706,0.0919444689183244,0.238474490553153
60,0.0443789464538585,0.00714796564041112,0.00283086179585722,0.00989889207096938,0.0998336171364558,0.249052764841302
