t,IRiP_Obs,XXp_Obs
0,7.68904311579411e-05,7.66400004814099e-05
4.5,NaN,0.0016451212480275
5,0.000584177196518345,NaN
9,NaN,0.00152438497428675
10,0.000427809946414397,NaN
15,0.000449213287883046,0.00131468211769114
20,0.000482508198058774,0.00118784309433892
25,NaN,0.00153515283916728
30,0.000407877187873174,0.00130181411763808
35,0.000491980289708893,NaN
40,NaN,0.00119180612902016
45,0.000439971935331278,NaN
50,NaN,0.00122487269899974
60,0.000409193982236296,0.00128837247072523
70,0.000364245573598624,0.00138853729219224
