t,Compound_2_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs
0,700.080114513164,1057.46501378935,1090.5590762105,0.995605317112676
5,319.478169198452,NaN,NaN,NaN
6,NaN,444.745309651382,NaN,523.328074567173
9,NaN,NaN,402.906395046218,NaN
10,414.355625640469,295.642522884496,NaN,536.07623896262
15,292.510912607242,NaN,NaN,NaN
20,253.58618632593,399.454625325637,435.861472250518,548.651774919709
25,NaN,376.108293453538,NaN,822.556614955422
30,372.403774887305,294.713084583989,485.384217404467,NaN
35,487.35237912953,NaN,NaN,610.687083090191
40,370.655845562516,502.981096127989,722.883124410997,822.471799291948
45,NaN,450.092718911742,NaN,NaN
50,423.315134091949,NaN,885.145339266829,1144.58417265311
55,NaN,360.274594674251,NaN,NaN
60,360.665511574368,NaN,NaN,896.310531237947
65,NaN,413.23526857471,949.155288450203,NaN
70,528.238620346095,NaN,NaN,868.362908094215
80,700.549447024143,525.899444090199,NaN,NaN
85,NaN,NaN,988.806794687041,964.48261051063
95,419.347560733423,421.015172567906,NaN,NaN
100,749.207477632686,398.977605304151,1222.0704734609,900.932827072804
150,687.500245487031,726.900694407193,1436.2234603928,1331.80352122082
