t,Compound_1_Obs,Compound_2_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs
0,8815.55378562884,888.492824881637,1022.19747615784,784.553807038155,9.23766808647028
2.5,NaN,42.408420529456,NaN,NaN,NaN
4,NaN,NaN,197.387341458807,NaN,NaN
5,8893.38721346916,27.1435262270208,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,619.578844778835
8,NaN,14.953871928243,NaN,93.2729592022973,NaN
8.5,NaN,NaN,119.498602328729,NaN,NaN
9.5,6635.74346695924,NaN,NaN,NaN,NaN
10,NaN,15.84038533145,NaN,NaN,NaN
15,9106.6647250046,13.1209303729351,92.1912080354051,260.153141873308,955.98235928387
20,6336.79639910701,15.9940068135028,74.6072545907914,NaN,NaN
25,6026.65828016263,16.4433307133865,111.963035440457,443.613674393394,1367.75998523706
30,5812.59607482232,NaN,88.5478883259699,NaN,1505.40147416816
35,7002.06791894225,16.1387792324827,NaN,477.260588221676,NaN
40,NaN,18.2770449624456,93.1139067846737,751.478675199032,1909.81927137739
45,9274.60322192768,15.3559328998916,70.0685735714418,NaN,NaN
50,6934.87420120517,NaN,NaN,NaN,1541.65858261138
55,NaN,NaN,68.3983870834044,864.13822125641,NaN
60,7332.45151508563,NaN,NaN,NaN,1924.59305770068
65,5642.10746481729,NaN,NaN,1017.70037828188,NaN
70,NaN,NaN,115.589755129678,NaN,1942.52575901808
75,7371.61269854398,NaN,NaN,1303.02884256154,NaN
80,NaN,NaN,87.8242837749509,NaN,NaN
85,NaN,NaN,NaN,NaN,1740.53018823873
90,8032.93340854517,NaN,NaN,1095.3899043358,NaN
100,10096.1997360501,NaN,NaN,1406.10403849464,1968.51185772265
150,7256.16986904055,NaN,NaN,2235.12006777217,3923.1336764654
200,7301.5274135938,NaN,NaN,2266.94764068462,3976.45432883186
