t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,31547602.6862818,-211119.576398189,-1.18507601031264e-06,0.0175956762939084,-6.19963371892803e-05,105.383902174903,1.46390754312485e-05,-1.48492337172994e-07,350804.299843954
40,11377128.1311157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9986956.12698103
50,NaN,5040731.49037216,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,0.000155318655888545,NaN,NaN,NaN,NaN,NaN,NaN
75,4661297.53543361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5375913.15681385
100,2873218.97912566,3329726.52490914,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150,1647010.3773582,1468808.67167486,7.26824687664118e-05,NaN,NaN,108.501303530584,NaN,NaN,1590335.69503921
200,1473264.42310623,505823.717648037,4.81920339764253e-05,NaN,NaN,NaN,NaN,NaN,457179.335642963
250,NaN,70431.1981319028,NaN,NaN,0.00806406046753242,110.727408226294,NaN,NaN,153197.796501586
300,-799707.960802407,NaN,1.21462699387215e-05,0.00690238837745877,NaN,NaN,NaN,NaN,NaN
350,57505.8111642967,-7116.90980783229,NaN,NaN,NaN,NaN,NaN,NaN,-219043.293089642
400,NaN,NaN,6.22497476396923e-06,NaN,NaN,118.290526941887,NaN,9.59271901897114e-07,-54971.7393900256
450,754299.937800718,-1792.75144241033,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500,NaN,-28390.9304279486,-1.31219876979517e-06,NaN,NaN,NaN,NaN,NaN,929.923429474884
550,NaN,NaN,NaN,NaN,0.00119873281161732,NaN,0.000716842631963886,NaN,73112.9213636614
600,NaN,NaN,NaN,NaN,NaN,100.116187423307,NaN,NaN,NaN
650,NaN,-8957.56360278713,-1.61909642140634e-06,0.0156868968976331,NaN,NaN,NaN,NaN,139242.593639608
750,NaN,NaN,NaN,NaN,NaN,89.0948753235061,NaN,2.29796373471189e-06,NaN
800,NaN,-129431.685890539,NaN,NaN,NaN,NaN,NaN,NaN,73146.3375684503
850,NaN,NaN,NaN,NaN,0.000333590383083042,NaN,NaN,NaN,NaN
950,NaN,99830.9032174365,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1000,NaN,NaN,NaN,0.0175777249958433,0.00017726596366545,96.3262864459588,0.000564736272441597,2.56882053409075e-06,NaN
1500,NaN,NaN,NaN,0.0155653963077762,-1.76562618104239e-05,112.555367066031,0.000421377539928127,3.24067507150575e-06,NaN
2000,NaN,NaN,NaN,0.0139147221108202,7.27875761907034e-05,99.0516675974371,NaN,3.5165351343866e-06,NaN
2500,NaN,NaN,NaN,0.017614684835552,7.08550195374943e-05,NaN,0.000285346789041837,3.0428708919716e-06,NaN
3000,NaN,NaN,NaN,0.0161400394265071,-0.000129039616687178,NaN,0.000194760214776582,2.64307928804989e-06,NaN
3500,NaN,NaN,NaN,0.0155821571872298,6.37158991101192e-05,NaN,NaN,2.37889677322569e-06,NaN
4000,NaN,NaN,NaN,NaN,NaN,NaN,0.000119081831720652,NaN,NaN
4500,NaN,NaN,NaN,0.0154622302280241,NaN,NaN,NaN,1.76777793898745e-06,NaN
5000,NaN,NaN,NaN,NaN,NaN,NaN,5.53110004091759e-05,NaN,NaN
5500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.41576710741635e-06,NaN
6000,NaN,NaN,NaN,NaN,NaN,NaN,6.26383361377038e-05,1.00630062196145e-06,NaN
7000,NaN,NaN,NaN,NaN,NaN,NaN,8.03799906175455e-06,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.84583769788074e-07,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,1.31642064932428e-05,2.00315899908427e-07,NaN
