t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,30911237.3944934,48339.7449283785,-3.12522986529951e-06,0.0147069868540482,9.26890792262523e-05,107.643690706845,-1.59033495289602e-05,-9.76479707814512e-08,28258.6472744533
30,3327441.61379892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14583440.4248293
35,NaN,7358004.51451758,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,102.664902438501,NaN,NaN,NaN
65,118756.702652287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6275976.4443447
70,NaN,NaN,0.000116487446588025,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,4605156.21601491,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,124.078299663949,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2242751.33111367
100,368063.86917893,2677903.79609441,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150,-97103.9407775387,670082.329116459,4.25217605202948e-05,NaN,NaN,84.302056509538,NaN,NaN,446519.966415484
200,-472626.598586325,41970.1626183563,NaN,0.00458708568435113,NaN,112.541062784091,NaN,NaN,186346.307022483
250,319151.377295817,308691.182679478,1.80973671755621e-06,NaN,0.00628804840942337,99.3640047643741,NaN,NaN,NaN
300,-519846.51859019,-200573.479509427,2.59855779918918e-06,NaN,NaN,109.810043917764,NaN,NaN,-471769.323638415
350,-459032.711136918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,136671.01188923
400,NaN,-245271.005185713,NaN,0.0144599293128661,NaN,114.329281701934,NaN,5.92510378308726e-07,57256.0141282082
450,NaN,-75759.8931551682,1.73947309267349e-07,NaN,NaN,120.358495857765,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,0.00107257254382306,NaN,NaN,NaN,113174.442218093
550,NaN,-140461.376739474,8.65911540642238e-07,NaN,NaN,114.019693570616,0.000639209296885707,NaN,NaN
600,NaN,NaN,NaN,0.0142173047196019,NaN,NaN,NaN,NaN,NaN
650,NaN,132129.188303142,NaN,NaN,NaN,NaN,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,0.000341049660396735,NaN,NaN,NaN,NaN
800,NaN,NaN,NaN,0.0165828857419109,NaN,NaN,NaN,NaN,NaN
850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0664028585337e-06,NaN
1000,NaN,NaN,NaN,0.0168307069344105,0.000172262105398328,NaN,0.00051655315467638,NaN,NaN
1500,NaN,NaN,NaN,0.0149574681558295,3.78499091415587e-05,NaN,0.000369801912311604,2.96546967735359e-06,NaN
2000,NaN,NaN,NaN,0.0162594104357815,8.44062266676542e-05,NaN,NaN,NaN,NaN
2500,NaN,NaN,NaN,0.0133238369825363,0.000110187259298544,NaN,0.00018600571989827,2.18265809858708e-06,NaN
3000,NaN,NaN,NaN,NaN,0.000112254157315543,NaN,0.00014579652191356,2.30067707169571e-06,NaN
3500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.04356689237453e-06,NaN
4000,NaN,NaN,NaN,NaN,NaN,NaN,7.56618528746915e-05,1.69678877130371e-06,NaN
5000,NaN,NaN,NaN,NaN,NaN,NaN,3.29485181534753e-05,1.07107121715002e-06,NaN
6000,NaN,NaN,NaN,NaN,NaN,NaN,3.13115072329287e-05,5.849260257992e-07,NaN
7000,NaN,NaN,NaN,NaN,NaN,NaN,4.51767900870981e-05,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.61567409370129e-07,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,-7.209994488832e-06,2.67881651222853e-07,NaN
