t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,30375568.2519119,28906.9646390429,-7.44439550137074e-07,0.0153943705789767,5.35287351925765e-05,87.8810612200937,-4.29704675674762e-05,2.12984846118636e-07,-7707.81169523507
50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4495049.64075778
55,19492861.6894115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,2580712.70677487,NaN,NaN,NaN,101.28237763869,NaN,NaN,NaN
100,14971257.9266923,2351248.35941077,NaN,NaN,NaN,88.5132856464388,NaN,NaN,3894205.74498842
150,7592988.05251629,NaN,0.000105404054522221,NaN,NaN,NaN,NaN,NaN,2745503.73192297
200,NaN,1254956.60969615,NaN,NaN,NaN,120.527850861536,NaN,NaN,1815297.07909581
250,4431874.83253396,838593.953074157,NaN,NaN,NaN,124.065672432091,NaN,NaN,NaN
300,1432883.31004367,NaN,5.49106213052321e-05,NaN,0.00901715279286775,NaN,NaN,NaN,623293.638594327
350,NaN,266504.600497127,NaN,0.0073370896002676,NaN,119.700295846236,NaN,NaN,648742.801052373
400,-1256097.48202928,99759.3041339436,NaN,NaN,NaN,NaN,NaN,1.03108491963725e-06,427691.348172191
450,NaN,NaN,2.1873705226359e-05,NaN,NaN,105.034564346612,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,0.000898176511340553,NaN,-63611.6745322013
550,1021417.39369854,99078.2708343473,NaN,NaN,NaN,108.533544880253,NaN,NaN,NaN
600,NaN,NaN,7.07751905366432e-06,NaN,NaN,NaN,NaN,NaN,34232.3021981897
650,NaN,101236.452954467,NaN,0.0135181498886024,0.00219295042491211,NaN,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,NaN,112.725565569641,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,152210.336090271
800,NaN,NaN,6.266196353678e-06,NaN,NaN,NaN,NaN,2.82057619893538e-06,NaN
850,NaN,-58615.0602661251,NaN,NaN,NaN,NaN,NaN,NaN,-113999.086337562
900,NaN,NaN,NaN,NaN,NaN,91.5116622064241,NaN,NaN,NaN
1000,NaN,-36258.5757555601,-3.34606831764744e-06,0.0118222779496545,0.000113835201619838,NaN,0.000794723274221189,3.07167455630438e-06,179830.668551247
1500,NaN,NaN,NaN,0.0136196436410313,0.000154501263577176,NaN,0.000636999852443216,3.87935820946467e-06,NaN
2000,NaN,NaN,NaN,0.0150962894435868,0.00010084785494878,NaN,0.000437580076406648,4.28199490462102e-06,NaN
2500,NaN,NaN,NaN,0.0139352416828878,0.000112677551477126,NaN,NaN,NaN,NaN
3000,NaN,NaN,NaN,0.015746595079134,0.000119086528428187,NaN,0.000315424948243644,3.79098826950326e-06,NaN
3500,NaN,NaN,NaN,NaN,-3.03574756887584e-05,NaN,0.000198710027934166,3.25175163371194e-06,NaN
4000,NaN,NaN,NaN,0.0179448615542805,NaN,NaN,NaN,2.88495868026672e-06,NaN
4500,NaN,NaN,NaN,0.0140998591461102,0.000181750664492404,NaN,8.30467287124322e-05,NaN,NaN
5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.04009512433081e-06,NaN
5500,NaN,NaN,NaN,NaN,NaN,NaN,4.88212366695843e-05,NaN,NaN
6000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.53966758342936e-06,NaN
7000,NaN,NaN,NaN,NaN,NaN,NaN,-8.03290184428858e-06,9.5840672350172e-07,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,1.20427413041662e-05,2.59109477614185e-07,NaN
