t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,33484712.6740269,-6619.90277100523,-2.3583893067511e-06,0.0143978861071892,-5.90023710776787e-05,102.910724146366,1.41003912356564e-05,-1.63196280572916e-07,-504.668222268382
100,NaN,NaN,NaN,NaN,NaN,93.5851565300484,NaN,NaN,NaN
150,22792229.402588,354709.927823918,7.27973005117612e-05,NaN,NaN,NaN,NaN,NaN,600847.091773103
250,NaN,NaN,NaN,NaN,NaN,82.2132473011576,NaN,NaN,NaN
300,NaN,NaN,5.17949187465139e-05,NaN,NaN,NaN,NaN,NaN,435609.137986683
350,18522958.6869664,251218.942540006,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400,NaN,NaN,NaN,NaN,0.00523379522773842,116.606696387708,NaN,8.89271327075484e-07,NaN
450,NaN,NaN,3.6867715704354e-05,0.012615606163445,NaN,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,0.000452093880946702,NaN,289182.920691293
550,12934284.7885092,171347.760691066,NaN,NaN,NaN,103.026832020743,NaN,NaN,NaN
600,NaN,NaN,3.26184517182542e-05,NaN,NaN,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,225582.865903861
750,10430965.5946697,116045.844728866,2.77102494286986e-05,NaN,NaN,111.279071801786,NaN,NaN,NaN
850,NaN,NaN,NaN,NaN,0.0028388544416861,NaN,NaN,1.78503854450608e-06,158122.686565529
900,NaN,NaN,NaN,0.0104508811638409,NaN,NaN,NaN,NaN,NaN
950,NaN,79780.3911506764,1.54401870735607e-05,NaN,NaN,94.3272894618374,NaN,NaN,NaN
1000,5495653.2691853,71172.7029805352,1.73232188523768e-05,NaN,NaN,118.854439097442,0.000713405820627357,NaN,155568.020537005
1500,948787.299187507,29618.1474431011,7.08119418384269e-06,0.0137293953211241,0.000993673959100384,90.9610513849505,0.000663981074441104,3.64506697408565e-06,16191.5715412388
2000,-69365.4011791751,7029.53899616418,2.68644374307691e-06,0.0132947347452909,0.000415267329501989,NaN,0.000534203908442635,3.68742439078374e-06,24218.6560639464
2500,NaN,12309.2398866673,6.89344256451766e-06,0.0127710974000616,0.000197482426149425,NaN,NaN,NaN,16524.5578660334
3000,NaN,-8419.14412639467,8.65878459217126e-07,0.0176036335700712,3.95953403198342e-05,NaN,0.00032875919780574,4.08221723602705e-06,-12233.6227964815
3500,NaN,NaN,NaN,NaN,0.00011620613473857,NaN,0.000253290510577867,3.57944989514367e-06,NaN
4000,NaN,NaN,NaN,0.0126636698959367,NaN,NaN,NaN,2.83761864666146e-06,NaN
4500,NaN,NaN,NaN,0.0148657206098035,0.000113710728073121,NaN,0.000115373811200232,NaN,NaN
5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.69798700190964e-06,NaN
5500,NaN,NaN,NaN,0.0159836923113336,4.82993146362707e-05,NaN,NaN,NaN,NaN
6000,NaN,NaN,NaN,NaN,NaN,NaN,1.53982756069186e-05,2.00377748498482e-06,NaN
6500,NaN,NaN,NaN,0.0159176551156511,1.85789910919321e-05,NaN,NaN,NaN,NaN
7000,NaN,NaN,NaN,NaN,NaN,NaN,5.2322084615259e-05,1.12397457657579e-06,NaN
8000,NaN,NaN,NaN,0.0132922488685893,NaN,NaN,NaN,NaN,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,2.18810542715072e-05,4.72321995166278e-07,NaN
