t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,32200407.0922561,31672.6591430089,1.00497702770106e-06,0.0155806474372797,0.000208652448688182,102.209112967833,3.11526827409774e-06,4.07786728237539e-08,12847.0125983266
50,NaN,NaN,NaN,NaN,NaN,123.124321918438,NaN,NaN,NaN
100,21282532.3487877,NaN,NaN,NaN,NaN,92.4015324669435,NaN,NaN,NaN
150,NaN,950618.24821747,0.000109633678428623,NaN,NaN,97.4426597428138,NaN,NaN,1542963.97211597
200,16476425.5045066,NaN,NaN,NaN,NaN,106.619756332471,NaN,NaN,NaN
250,NaN,691671.318517671,NaN,NaN,NaN,NaN,NaN,NaN,1132554.98630286
300,10994558.2003412,NaN,6.83426533664958e-05,NaN,NaN,121.261512076517,NaN,NaN,NaN
350,NaN,NaN,NaN,NaN,NaN,109.908932820897,NaN,NaN,NaN
400,NaN,335155.026895231,NaN,0.00807800247249733,0.00753025521522367,NaN,NaN,7.92849325888712e-07,633497.863243798
450,6683363.81052526,NaN,4.74441626707766e-05,NaN,NaN,105.081164092944,NaN,NaN,NaN
550,3791514.37020954,301014.60867496,NaN,NaN,NaN,109.947796926984,0.000827671129835718,NaN,446834.257882635
650,NaN,NaN,3.01964723458402e-05,NaN,NaN,NaN,NaN,NaN,NaN
700,1598309.49241162,NaN,NaN,NaN,NaN,101.170560109371,NaN,NaN,NaN
750,NaN,113487.088716664,NaN,NaN,NaN,NaN,NaN,NaN,223589.951101911
800,NaN,NaN,2.00516993343325e-05,0.0129521287043294,NaN,134.011734950087,NaN,NaN,NaN
850,NaN,NaN,NaN,NaN,0.00295599565942123,NaN,NaN,2.30193838091271e-06,NaN
900,171754.844246141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
950,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107768.53811579
1000,540488.363131439,-17907.311568744,9.57916109030087e-06,0.0110897959086285,NaN,NaN,0.00093137100858964,NaN,47082.9628029976
1500,-113163.309370907,NaN,-2.62265613297213e-06,0.0131766102245141,0.000440898147777804,NaN,0.000845687694245245,4.79953324045044e-06,-33689.6693908123
2000,604325.687103696,NaN,NaN,0.0136963949892987,1.56414762946326e-05,NaN,NaN,NaN,47862.5680678678
2500,NaN,NaN,NaN,NaN,4.33867737857834e-05,NaN,0.000453063445249694,5.57634471489711e-06,NaN
3000,NaN,NaN,NaN,0.0155964285073339,0.000138679531230453,NaN,0.000349995976871918,4.97609008818815e-06,NaN
3500,NaN,NaN,NaN,0.0137687066460937,NaN,NaN,NaN,4.59198800630036e-06,NaN
4000,NaN,NaN,NaN,NaN,-5.00007788426337e-05,NaN,0.000249278826628327,NaN,NaN
4500,NaN,NaN,NaN,0.0136835499924644,NaN,NaN,NaN,3.2930165096752e-06,NaN
5000,NaN,NaN,NaN,NaN,0.000254213799697091,NaN,0.000173052608854963,NaN,NaN
5500,NaN,NaN,NaN,0.0138260522293299,NaN,NaN,NaN,2.01295686292729e-06,NaN
6000,NaN,NaN,NaN,NaN,-7.54988288173955e-05,NaN,6.8345084471697e-05,NaN,NaN
6500,NaN,NaN,NaN,0.0137941826309543,NaN,NaN,NaN,1.6684299488846e-06,NaN
7000,NaN,NaN,NaN,NaN,NaN,NaN,4.24212751517091e-06,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.45628821979388e-07,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,2.38672679067441e-05,NaN,NaN
