t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,32511106.9669719,851.862377267689,-1.18767982071723e-07,0.0186021309372882,3.02995359355802e-05,100.66069115317,1.96383225844514e-05,4.688892203769e-08,-2347.77635058886
60,NaN,NaN,NaN,NaN,NaN,116.90730386832,NaN,NaN,NaN
100,NaN,NaN,NaN,NaN,NaN,88.1252434183417,NaN,NaN,NaN
200,NaN,NaN,NaN,NaN,NaN,119.943519696701,NaN,NaN,NaN
250,NaN,NaN,NaN,NaN,NaN,96.6749297781786,NaN,NaN,NaN
300,21251143.9291923,106280.002116127,2.48598926043981e-05,NaN,NaN,NaN,NaN,NaN,169285.697181816
350,NaN,NaN,NaN,NaN,NaN,101.146946852494,NaN,NaN,NaN
400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.59463880600434e-07,NaN
450,NaN,NaN,NaN,NaN,NaN,103.828780085435,NaN,NaN,NaN
550,NaN,NaN,NaN,0.011726834976368,0.0021679903629901,97.0661084010745,0.000232571835977421,NaN,123368.58637431
600,14862592.954056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
650,NaN,67537.9482153014,1.63878087884693e-05,NaN,NaN,NaN,NaN,NaN,NaN
800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.06544802146016e-07,NaN
850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87176.7944269652
950,8485299.16946625,41298.7598262151,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1000,NaN,NaN,1.02503868666167e-05,0.00965119120135306,0.00130303301717565,NaN,0.000328616141525206,8.44638799574765e-07,63364.3213976662
1500,4077683.8126651,19459.872816687,5.06148733751178e-06,0.0133681287755529,0.000725746589956993,NaN,0.000337173402769484,1.6513428963139e-06,31744.1277455453
2000,1137105.35177982,12590.5797279459,2.92883499694457e-06,NaN,NaN,NaN,NaN,1.92346924756073e-06,14777.3740691037
2500,2454772.31329237,5688.39448651425,1.5199826010095e-06,0.0154172835904101,0.000194980247880869,NaN,0.000248483769933723,NaN,4529.21077802074
3000,NaN,4583.8547566484,3.99084836680017e-07,0.0166126542509868,0.000114686350866255,NaN,0.000191135842021792,2.2306487650184e-06,6674.70665765874
3500,-1760681.25516123,NaN,-3.17414965939969e-07,NaN,NaN,NaN,NaN,1.88129943343759e-06,-1581.52097146159
4000,543944.187205152,2999.87914019932,NaN,0.015247034150059,1.1144326244628e-05,NaN,0.000130923290753038,1.70280797958698e-06,NaN
4500,NaN,1118.56114572428,3.45799056240653e-08,NaN,NaN,NaN,NaN,NaN,673.935965506714
5000,683071.29702093,NaN,NaN,0.0143021668706698,5.70265653438647e-05,NaN,4.95534497402138e-05,1.32718372203894e-06,NaN
5500,NaN,1510.86795444839,1.61656765913167e-07,NaN,NaN,NaN,NaN,NaN,NaN
6000,NaN,NaN,NaN,0.0171176556133547,3.12402406854196e-06,NaN,2.84876132156449e-05,9.59661714464482e-07,NaN
6500,NaN,1159.56202926531,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7000,NaN,NaN,NaN,0.0145705391748221,8.58944956204845e-05,NaN,1.72485838085293e-05,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.60259194770744e-07,NaN
8500,NaN,NaN,NaN,0.0159480262913132,-1.86723607450386e-05,NaN,3.5773250163632e-05,2.11548195490148e-07,NaN
