t,pJAK1_pgp130_Obs,nSOCS3RNA2_Obs
0,0.00181613422921344,0.000177340437584977
25,0.0251412214889544,0.00214470138710094
50,0.0279096490617542,0.00210958049890395
75,NaN,0.00269966912996503
80,0.0279843283262589,NaN
100,0.0272771485525797,0.00252739984850428
150,0.0248395936426556,0.00194372307374716
200,0.0296703708946582,0.00186637061978322
250,0.0237607907933736,0.00198040653076591
300,0.0263140090221966,0.00233897902409208
350,0.0269438521786067,0.0021715190180116
450,0.0230748705464557,0.00234146258321531
