t,input_il6,JAK1_gp130_Obs
96,0,0.202439162731493
96,0,0.221206084447949
96,0.5,0.210006400398135
96,0.5,0.212837398247782
96,1,0.199507355884925
96,1,0.233520569710859
96,2.5,0.193896736448007
96,2.5,0.22426335407712
96,5,0.212333370516079
96,5,0.217736933475494
96,10,0.215088345753424
96,10,0.223030176281551
96,25,0.171082746462163
96,25,0.172760356917861
96,50,0.132662639623263
96,50,0.147850129732672
96,100,0.118847533195945
96,100,0.124075359175812
96,500,0.049026770589047
96,500,0.0507869747357226
