t,input_il6,JAK1_gp130_Obs
56,0.1,0.205234594202009
56,0.1,0.206822132306727
56,0.5,0.218942182306385
56,0.5,0.230388658749281
56,1,0.21328975156698
56,1,0.218753155314106
56,2.5,0.198921653535313
56,2.5,0.218317910318754
56,5,0.218259593346056
56,5,0.236912738945344
56,10,0.202239241814045
56,10,0.208386604948473
56,25,0.232107245710969
56,25,0.248706281065216
56,50,0.181411948448965
56,50,0.20012412279378
56,100,0.15849382949627
56,100,0.16576417294843
56,500,0.0894442166698367
56,500,0.0972418197102979
