t,input_il6,JAK1_gp130_Obs
1500,0.1,0.253782021155473
1500,0.1,0.198405134223911
1500,0.5,0.20276282021918
1500,0.5,0.237920117279606
1500,1,0.243461066419914
1500,1,0.214206482274314
1500,2.5,0.208275400253216
1500,2.5,0.214549443587034
1500,5,0.0961445687384367
1500,5,0.0854375037835732
1500,10,0.220795483186787
1500,10,0.205185966148165
1500,25,0.172057507171957
1500,25,0.163854137758667
1500,50,0.18485139898015
1500,50,0.202358235518918
1500,100,0.119049294337345
1500,100,0.145401295478738
1500,500,0.0286865321742024
1500,500,0.0319330614997515
