t,input_il6,JAK1_gp130_Obs
290,0.1,0.23204458985099
290,0.1,0.212720024392949
290,0.5,0.248848580450907
290,0.5,0.263376651242251
290,1,0.237352475359673
290,1,0.184014917281034
290,2.5,0.188329901567136
290,2.5,0.241318214809173
290,5,0.100352096203031
290,5,0.0992290542185348
290,10,0.169778633529813
290,10,0.243281814085077
290,25,0.178195520171256
290,25,0.166684202583073
290,50,0.222010190681491
290,50,0.214248760069659
290,100,0.156880894941773
290,100,0.145136013375398
290,500,0.0336012255228895
290,500,0.0353737208546228
