t,input_il6,JAK1_gp130_Obs
1200,0.1,0.257883166892643
1200,0.1,0.265365031652984
1200,0.5,0.2062402398117
1200,0.5,0.2418834256746
1200,1,0.225861310958615
1200,1,0.270346726533607
1200,2.5,0.17918604492759
1200,2.5,0.18572364783086
1200,5,0.178675614001505
1200,5,0.211766795278076
1200,10,0.211586904184866
1200,10,0.24099304457138
1200,25,0.185875546699588
1200,25,0.192252062530826
1200,50,0.130108611784033
1200,50,0.163916090702909
1200,100,0.116412026960158
1200,100,0.128017030884667
1200,500,0.0400454189094393
1200,500,0.0411965833814348
