t,input_il6,pJAK1_pgp130_Obs
14,0.1,0.00196166162730457
14,0.1,0.00203905951969297
14,0.1,0.00204443326498657
14,0.1,0.00205997331558232
14,1,0.00245420010184979
14,1,0.00264298560425716
14,1,0.00269000163971395
14,1,0.00294603604974298
14,5,0.00565644706372215
14,5,0.00637091907436465
14,5,0.00643178329675905
14,5,0.00651815845916387
14,10,0.00878110687592536
14,10,0.00962906373291504
14,10,0.0103373018381216
14,10,0.0117552914941989
14,50,0.0360928478796544
14,50,0.0398308072827551
14,50,0.0435839508146281
14,50,0.0445413333875818
14,100,0.0718218646133853
14,100,0.0719566829727713
14,100,0.0757421842440839
14,100,0.0781780855529932
14,500,0.149959157242636
14,500,0.158643901169586
14,500,0.160770561490805
14,500,0.163189462549848
