t,input_il6,JAK1_gp130_Obs
340,0.1,0.234805756576507
340,0.1,0.214748091682869
340,0.5,0.245625678945367
340,0.5,0.259919544394604
340,1,0.212420390896486
340,1,0.251620475618049
340,2.5,0.223345253748356
340,2.5,0.217638969704649
340,5,0.134210943632974
340,5,0.141471634744192
340,10,0.220369708021059
340,10,0.250459848880233
340,25,0.222350077122986
340,25,0.19671112441701
340,50,0.276204409711601
340,50,0.241999796198107
340,100,0.154023224635943
340,100,0.167951618928779
340,500,0.0661793231215865
340,500,0.0605472470667698
