t,pJAK1_pgp130_Obs,nSOCS3RNA5_Obs
0,0.00247283818480656,0.000164520182689339
20,0.171395211338962,0.00784595808462779
40,0.156801508113326,NaN
45,NaN,0.0104633270685695
60,0.157001430875129,NaN
70,NaN,0.00790608743932709
80,0.134679888485488,NaN
95,NaN,0.00883289610991142
100,0.149124651761024,0.00718228985706167
150,0.138672431321597,0.00764578529677218
200,0.0875264572294739,0.00817521777877507
250,0.124308556060035,0.00697168116511102
300,0.108458528022311,0.0072078017358608
350,0.106706935246928,0.00706775406333148
