t,input_il6,pJAK1_pgp130_Obs
0,2.5,0.00188388759970918
0,2.5,0.00188805357843507
0,2.5,0.00188263558222972
0,2.5,0.00193536536040564
0,2.5,0.00175861897911734
0,10,0.00206589760135234
0,10,0.00148113678237377
0,10,0.00192261779081132
0,10,0.00191254264269043
0,10,0.00178248994500234
0,60,0.00204344170680006
0,60,0.00159294973438548
0,60,0.00185706650892846
0,60,0.0018528902980744
0,60,0.00172677008416441
0,120,0.00159218326469238
0,120,0.00177196573557529
0,120,0.00195561170251543
0,120,0.00174885960455575
0,120,0.00168887367083229
