t,pJAK1_pgp130_Obs,nSOCS3RNA2_Obs
0,0.00176167413754352,0.000172858833151356
25,0.0763047519464152,0.00576524401340861
45,NaN,0.00654011725215939
50,0.0804816923795599,NaN
70,NaN,0.0050546181137327
75,0.0708750374790649,NaN
100,0.0727828713519477,0.00582243292949659
150,0.081903167457416,0.00513371524139547
200,0.07014945243235,0.00490093578109394
250,0.0579491268120551,0.00437669967295602
300,0.0560707505542428,0.00453708224079954
350,0.0627838855939463,NaN
400,NaN,0.00473731856511512
450,0.0576864654733981,NaN
