t,JAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA2_Obs
0,0.222229802269257,0.00181644346807567,0.000162096136036129
20,NaN,NaN,0.00275884624226643
25,0.172731719797652,0.0494105400189665,NaN
40,NaN,NaN,0.00312036128927604
50,0.152744510893889,0.0520483189607942,NaN
60,NaN,NaN,0.00356276360837839
75,0.174038076535597,NaN,NaN
80,NaN,0.0483016731445277,NaN
85,NaN,NaN,0.00341822393265819
100,0.163342643302016,0.0455920545745679,0.00428359594243918
150,0.149700440369474,0.0425940014337677,0.00376459860469019
200,0.125137695321261,0.041192899556854,0.00356439763111256
250,0.147664820733238,0.0370536091311887,0.00317214881285038
300,0.160867168294844,0.0400566694261571,0.00409302743751633
350,0.144124626322361,0.0384899587121832,0.00333672023582222
450,0.14799002989305,0.0461795531609783,NaN
