t,pJAK1_pgp130_Obs,nSOCS3RNA2_Obs
0,0.00192750709597957,0.000163797691955631
25,0.0133260414912325,0.00113815622898796
45,0.016861544945667,0.00142859078141217
70,0.0173178643600338,NaN
75,NaN,0.00142389815877441
100,0.0158664245780415,0.00145995050225406
150,0.0181937674227704,0.00134034081932401
200,0.016824569825981,0.00130087961914263
250,0.0166993133086262,0.0014439365268971
300,0.0146260097226159,0.00164103191771641
350,0.0157753785381803,0.00147737868659324
450,0.0138011776041867,0.00136549480186231
