t,pJAK1_pgp130_Obs,nSOCS3RNA2_Obs
0,0.00147595287746138,0.00012131297663081
20,0.00660832155652162,NaN
25,NaN,0.000590076911432628
45,0.00975931777060218,NaN
50,NaN,0.000760154160315856
70,0.0087339584891626,NaN
75,NaN,0.000845918622890904
95,0.00928555846776827,NaN
100,NaN,0.000814642041373405
150,0.00981839670279732,0.000720413194838073
200,0.00858533507405023,0.00073103664304645
250,0.00889807913178625,0.000906226383044856
300,0.00959503114614218,0.000754124753289471
350,0.00873156224249642,NaN
400,NaN,0.000645192975163058
450,0.0105956163126825,NaN
