t,Compound_1_Obs,Compound_2_Obs
0,10.857601817279,10.9248115737719
10,13.0575847528261,9.83896085551794
20,NaN,8.4961639608147
25,21.1898299251287,NaN
35,NaN,8.13036146240559
40,26.5298766261672,NaN
45,NaN,9.43571306503935
55,29.8413480173572,NaN
60,NaN,14.0155988157417
70,29.8559292393761,NaN
75,NaN,17.6256004593728
90,37.0156557728499,NaN
95,NaN,26.2661686013376
100,35.0859082231797,24.5385189269312
150,25.5177360225366,22.4256736514119
200,23.6921700586004,16.3481774509727
250,22.1830228282404,NaN
300,25.6301574004489,NaN
