t,Compound_2_Obs,Compound_5_Obs
0,8.9755459737882,-0.860209288662356
6.5,NaN,1.03976899041502
8,13.5744073287811,NaN
15,7.25208203316904,5.7375465312311
20,NaN,9.38167821725295
25,5.71340054597894,9.94142002897505
35,5.0573268630483,11.2744292092724
45,10.0051399484698,11.4824760211813
55,11.1004301446165,11.699382696542
65,11.6084503693648,NaN
70,NaN,11.328411168932
75,19.6456748618435,NaN
85,NaN,7.41462298878321
90,24.9203443271897,NaN
100,25.2127419010167,5.41750488875849
150,18.4003351025178,3.97367319041486
200,14.8923810261679,NaN
