t,Compound_1_Obs,Compound_2_Obs
0,2.37030911011671,3.56183275460286
8,NaN,-0.406289175714091
15,NaN,4.89802399596825
20,20.7205358321549,NaN
25,NaN,24.742854023186
35,NaN,17.7406535559492
45,10.9028554560645,11.8948749511984
60,NaN,8.02181402948642
70,5.46807491870715,NaN
75,NaN,3.47390999657391
95,4.42207858856665,5.18151788565995
100,NaN,3.98524119527028
150,3.33236110264926,NaN
200,2.94494180398438,NaN
250,3.91822247158328,NaN
300,4.16460033196105,NaN
350,3.18152703574053,NaN
450,2.36393640577661,NaN
