t,epo_level,Compound_2_Obs
37,2.5e-09,8.68152767447353
37,2.5e-09,8.68162220008008
37,2.5e-09,9.28283109080449
37,2.5e-08,8.09027537296883
37,2.5e-08,8.87544230549272
37,2.5e-08,8.96987552433905
37,1.25e-07,7.33317992465092
37,1.25e-07,9.05119843575079
37,1.25e-07,9.61358540748611
37,2.5e-07,9.12108931093303
37,2.5e-07,9.66077536427184
37,2.5e-07,10.3697359557892
37,1.25e-06,10.3843735667362
37,1.25e-06,10.706650258762
37,1.25e-06,11.0522706735458
37,2.5e-06,10.5693155601213
37,2.5e-06,11.3550412627599
37,2.5e-06,11.4002112821101
