t,epo_level,Compound_2_Obs
8,2.5e-09,7.68300674751501
8,2.5e-09,7.9091691169767
8,2.5e-09,8.57606630963502
8,7.905e-09,7.80178219278225
8,7.905e-09,8.45423977320452
8,7.905e-09,8.78373418858389
8,1.25e-08,7.43736533752236
8,1.25e-08,7.98311687651708
8,1.25e-08,8.68374676267781
8,1.75e-08,8.83356717542859
8,2.5e-08,7.81443989150903
8,3.95e-08,7.96846424317082
8,7.9e-08,7.35694677639581
8,7.9e-08,8.25724428472253
8,7.9e-08,8.59248250464252
8,1.25e-07,8.73188302931036
8,1.7675e-07,8.29921883461573
8,1.7675e-07,8.37193666315117
8,1.7675e-07,8.9980859094342
8,2.5e-07,8.17222273680357
8,2.5e-07,8.88807356840858
8,2.5e-07,9.08618270429001
8,7.905e-07,8.64141971055436
8,2.5e-06,8.04037586438522
8,2.5e-06,8.22335996309229
8,2.5e-06,8.934793636587
