t,Compound_6_Obs,Compound_7_Obs,Compound_15_Obs
0,1.11177419429102,143.516340564761,4.75247196581535
45,NaN,67.4586219975308,NaN
55,19.60593990098,NaN,12.7738856851319
95,NaN,43.8907915346564,NaN
100,21.5390316643061,NaN,12.0629228284092
150,NaN,52.9594355951443,15.3736132305508
200,21.1937160528856,61.3539487418156,NaN
250,18.8030509388266,68.9451994679133,13.6105135584524
300,17.5056506379015,62.455650582939,13.4850472406654
350,NaN,NaN,11.9688670591968
400,16.0215859139746,89.4452931569609,NaN
450,18.8344824394978,89.2837028079924,12.9737991218098
550,17.2086421503237,125.131057730153,11.8645756762102
650,13.1527089409954,115.622591414552,12.1886626871014
750,NaN,133.031743464601,NaN
800,9.63973294360329,NaN,10.3898299256522
900,NaN,130.539337903798,NaN
950,8.01406628051283,NaN,8.18795926457532
1000,7.43096677329763,136.572806721745,7.5452645351724
1500,3.50442249060692,NaN,5.62441233325876
