t,p_IL13_Rec_Obs,JAK2_Obs
0,0.00456698658261243,2.64129799861606
10,0.0728859314123348,NaN
15,NaN,1.58435503380274
25,0.0725479460194184,1.35922094218613
40,0.0705606323196061,1.29726022700031
50,0.0663328799100817,NaN
55,NaN,1.61941574162357
65,0.0612438679323643,NaN
70,NaN,2.01199661081012
85,0.0741794179016564,2.09361965162971
100,0.0635880971027063,2.31607159211662
150,0.0703437239128508,2.54824853998184
200,0.0702583194799494,2.63736358216706
250,0.0648417461824348,2.57336602640814
300,0.0615702231470426,NaN
