t,IL13_Rec_Obs,Rec_Obs,Rec_i_Obs
0,-0.0173219555440369,0.963784527135108,279.76108925719
3,0.126133937512967,NaN,NaN
4,NaN,NaN,296.757890953512
5.5,NaN,1.65249075810051,NaN
6.5,-0.2704080517958,NaN,NaN
8.5,NaN,NaN,273.486151629237
10,-0.0660153629887916,1.69551173069921,NaN
15,-0.0661749902295773,NaN,257.884887417991
20,0.041736760956458,1.51126120402938,263.487818871875
25,0.0864965735521764,1.78348454926282,293.794738932669
30,-0.0216682127227338,NaN,NaN
35,NaN,1.66750986298135,270.865007472951
