t,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,CISnRNA1_Obs,CISnRNA4_Obs,CISRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs
0,7.69349117223433e-05,0.0001347233158058,0,0.806799767605963,8.3621015553344e-05,6.81981702949469e-07,1.23447436666583e-06,9.72935529885508e-07
15,0.0428898279904224,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,0.195429684091869,840.839580117295,105.001083322183,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,0.0147978716692421,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00132706315658012
35,0.0369817888027353,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,0.080975846567619,NaN,NaN,NaN,NaN,0.0010689074688695,NaN
45,NaN,NaN,1110.5273216407,1030.28822438944,NaN,0.00145456274597874,NaN,NaN
50,0.0252094460817894,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,0.16503957033101,NaN,NaN,NaN
60,NaN,0.0528870685310723,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,786.303687155951,NaN,NaN,NaN,0.000660601537041635
70,0.0231668490412166,NaN,697.057202551756,NaN,NaN,NaN,NaN,NaN
85,NaN,0.0625822689868667,NaN,NaN,0.108159431095695,NaN,0.000536396510602994,NaN
90,0.0225736586212224,NaN,NaN,567.239540241337,NaN,0.000612361997523553,NaN,NaN
95,NaN,NaN,463.186563980495,NaN,NaN,NaN,NaN,NaN
100,0.0155865963295862,0.0511338843236833,NaN,510.290826702429,0.129651806964272,NaN,NaN,0.000533371658434265
150,0.0233328585670228,0.040227134436804,233.986704665361,258.295222963484,0.049078804827901,0.000292933036002121,0.000185352462807745,0.000381803607149203
200,0.0166007251900566,0.0426167478984019,144.756230533008,101.124316312274,0.0358156489211176,0.0001666625534794,0.000185772355749071,0.000219859378257243
250,0.0151288777581748,NaN,189.611069135091,219.800564651662,0.0291575551419626,0.000247580613037069,0.000221624709762095,0.000140243493842126
300,NaN,NaN,128.278955838852,265.405843209013,0.0302261230200782,NaN,0.000132696324539198,0.000260115806358499
350,NaN,NaN,124.471201671281,167.701057621882,NaN,0.000175421702561977,NaN,0.000183223305379554
400,NaN,NaN,NaN,NaN,0.0216778889910058,0.000276109901907666,0.000238709886030255,NaN
450,NaN,NaN,257.595459332392,NaN,NaN,NaN,0.000225357563382035,0.000225412182693416
500,NaN,NaN,NaN,NaN,NaN,0.000221004124602167,NaN,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,0.000193766524542051,NaN
600,NaN,NaN,NaN,NaN,NaN,0.000170341662801957,NaN,NaN
