t,epo_level,p12EpoRpJAK2_Obs
45,2.5e-09,0.0540285369698768
45,2.5e-09,0.0540587281731486
45,2.5e-09,0.0618674994032622
45,2.5e-08,0.0497906992949543
45,2.5e-08,0.0714993452278303
45,2.5e-08,0.0985191205656326
45,1.25e-07,0.0738757754462902
45,1.25e-07,0.0743854980916744
45,1.25e-07,0.106503937361974
45,2.5e-07,0.0611884806856779
45,2.5e-07,0.0748289702813175
45,2.5e-07,0.0787239237921171
45,1.25e-06,0.0627432987221854
45,1.25e-06,0.0645619243248266
45,1.25e-06,0.0916791923357827
45,2.5e-06,0.0679758442609493
45,2.5e-06,0.0785927775783268
45,2.5e-06,0.0904337404614965
