t,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,CISRNA_Obs,SOCS3nRNA4_Obs
0,0.000120538543517332,0.00141435470248832,0.000108195101125361,1.03534326355288e-06
7,NaN,0.951425771670556,NaN,NaN
10,0.0584591925598225,NaN,NaN,NaN
15,NaN,0.317283298375825,0.000664598675859185,0.00136633507404715
20,0.0442715441416155,0.19373116138485,NaN,NaN
30,0.0347940844138189,0.131135442729861,0.0266208060196345,0.00161857470809227
40,NaN,0.0933401405744422,NaN,NaN
45,0.0353716001252262,NaN,0.0722951047072598,0.000664642733500653
50,NaN,0.083008054590086,NaN,NaN
55,0.0219438563506953,NaN,NaN,NaN
60,NaN,NaN,0.102301840286792,0.00104308851052524
65,NaN,0.0278216561021262,NaN,NaN
70,0.0268987419344497,NaN,NaN,NaN
75,NaN,0.0675603750602552,0.134498202754428,NaN
80,NaN,NaN,NaN,0.000551129284825642
90,0.0132516300334028,NaN,NaN,NaN
95,NaN,0.0531492148718031,0.156316022517203,NaN
100,0.0212900106099546,0.0701833841316673,0.0907945462882502,0.000427186898591644
150,0.0160013975323486,NaN,0.0542345481789425,0.000247979447481116
200,0.0148942127512208,NaN,0.0287983262637555,0.000159256196234327
250,NaN,NaN,0.0291153701385601,0.000265620178309658
