t,epo_level,p1EpoRpJAK2_Obs
19,2.5e-09,0.0435972207636195
19,2.5e-09,0.005534238644195
19,2.5e-09,0.00805929421374989
19,7.905e-09,0.00797058344527493
19,7.905e-09,0.00739087152913777
19,7.905e-09,0.0372434368608018
19,1.25e-08,0.174726906034834
19,1.75e-08,0.124345476037549
19,1.75e-08,0.115475821898987
19,1.75e-08,0.0638070534014479
19,2.5e-08,0.0477199189789528
19,3.95e-08,0.0530743448908091
19,7.9e-08,0.0128085141242113
19,7.9e-08,0.00183122551003278
19,7.9e-08,0.00129934867356053
19,1.25e-07,0.00235178210395232
19,1.7675e-07,0.011591707451679
19,2.5e-07,0.0725400635353566
19,2.5e-07,0.104883190215412
19,2.5e-07,0.0868639132065408
19,7.905e-07,0.00275279640182079
19,7.905e-07,0.00237256496366678
19,7.905e-07,0.00584350662886531
19,2.5e-06,0.0167514959512288
19,2.5e-06,0.0293826371881208
19,2.5e-06,0.0285030816201294
