t,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,CISnRNA1_Obs,SOCS3nRNA5_Obs
0,8.78379912099013e-05,0.000768881021385717,0,9.35182529363675e-07
4.5,NaN,0.802530106410642,NaN,NaN
6,NaN,NaN,57.021123365945,NaN
7.5,0.0349680096811327,NaN,NaN,NaN
9,NaN,0.168140337060359,NaN,NaN
10,NaN,NaN,264.460945848462,0.000289279971652267
15,0.0186838063452276,0.0772102313226159,NaN,NaN
20,NaN,0.0516003887711343,489.252040506213,NaN
25,0.0207701408119354,0.0706884846314272,787.904275315356,0.000863697606268342
30,0.0118927075969389,NaN,NaN,NaN
35,NaN,0.0449326290279853,707.959074941975,0.00131988931904871
40,NaN,NaN,763.051801155913,NaN
45,0.0191449763523824,0.0216126007899112,NaN,NaN
50,NaN,NaN,834.459745779316,0.000694730565764864
55,0.0135071248505921,0.0215178076379327,NaN,NaN
65,NaN,NaN,304.372076104757,0.000581291440784226
70,0.0141652139743649,NaN,NaN,NaN
75,NaN,NaN,460.1109419621,NaN
85,0.0183611249253809,NaN,NaN,0.000363826589989
90,NaN,NaN,316.605170962034,NaN
100,0.00800621666156188,NaN,332.242253147995,0.000571250486514009
150,NaN,NaN,169.022858918083,0.00021881785829663
200,NaN,NaN,NaN,0.000185085128773062
