t,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,CISRNA_Obs,SOCS3nRNA4_Obs
0,9.30760252635094e-05,0.000107023022342815,8.94348041364772e-06,1.36963596774974e-07
9,NaN,0.0352534312590929,NaN,NaN
10,0.0276859701192734,NaN,NaN,8.80586358086603e-07
20,0.0190469652801667,0.0704756877935648,2.49440474710595e-05,NaN
25,NaN,NaN,NaN,1.07290018253126e-05
30,NaN,0.0220181941364855,NaN,NaN
35,0.0111133654889686,NaN,0.000206848410501137,2.33875678807531e-05
40,NaN,0.0194844967897421,NaN,NaN
45,0.00974307428995437,NaN,NaN,NaN
50,NaN,NaN,NaN,1.53306765654851e-05
55,NaN,0.011197565484285,0.00125551984921473,NaN
60,0.00961492057984824,NaN,NaN,NaN
65,NaN,NaN,NaN,2.38668685892177e-05
70,NaN,0.00872116129550705,NaN,NaN
75,0.0060381112685319,NaN,0.00156746962530615,NaN
80,NaN,NaN,NaN,2.31676200333562e-05
90,0.00654372069870103,NaN,NaN,NaN
95,NaN,0.00502412459304179,NaN,NaN
100,0.00846818407883327,NaN,0.00226702510717934,1.64385212606676e-05
150,0.00519755227995506,NaN,0.00160370211755473,1.18837054770829e-05
200,NaN,NaN,0.00194649492221559,7.10291891978948e-06
250,NaN,NaN,0.00120304922632765,NaN
300,NaN,NaN,0.00134444626863799,NaN
