t,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,CISnRNA1_Obs,SOCS3nRNA5_Obs
0,0.000117584161064645,0.000862353329164304,0,6.76320386726896e-07
5,NaN,NaN,32.4745770920646,NaN
5.5,NaN,0.878208210580886,NaN,NaN
8,0.0333878205626423,NaN,NaN,NaN
10,NaN,0.646395436748373,271.017828679547,0.000405241963130764
15,0.0433005346071555,0.263780631759951,826.639706781166,NaN
20,NaN,NaN,805.448774861308,0.00115124625849244
25,0.0285277138507944,0.207215334849391,654.972376205464,NaN
30,NaN,0.064103503091142,NaN,NaN
35,0.0239047374571502,NaN,1072.72200525337,0.00103466115857749
40,NaN,0.0693947781147987,1152.79569203927,NaN
45,0.017874668417646,0.105821670733094,NaN,0.00165293460924594
50,NaN,NaN,1220.60927470105,NaN
60,0.0266591092373023,0.055204756801825,511.765285599209,0.00095186530199712
70,NaN,0.0711582976323035,744.764061743603,NaN
75,0.0186458696945737,NaN,NaN,0.00073331825299981
85,NaN,0.0434716074754131,653.487490846302,NaN
90,0.0178401400703037,NaN,NaN,NaN
95,NaN,NaN,NaN,0.000677467428436812
100,0.0213024308711869,NaN,273.365079305387,0.000371354617263875
150,0.0188361277168987,NaN,NaN,0.000265163192356959
200,NaN,NaN,NaN,0.000218966773352717
