t,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,CISnRNA1_Obs,SOCS3nRNA5_Obs
0,0.000117491410193459,0.000959365266840504,0,9.02995252408031e-07
4,NaN,0.712051627206741,NaN,NaN
5,NaN,NaN,31.3197149063532,NaN
7.5,0.0378374716940605,NaN,NaN,NaN
8,NaN,0.248914607482243,NaN,NaN
10,NaN,NaN,284.040976601462,0.000313380463814514
15,0.0296395632979075,0.134406161597783,541.745554675757,NaN
20,NaN,0.0729379588348056,421.870694174621,0.000790692436743998
25,0.0172045989855918,0.0721994787118803,422.82599568856,NaN
30,0.012411228995206,0.0598958583196918,NaN,NaN
35,NaN,0.0479491429146666,751.1420023022,0.00102127330236536
40,0.0197868041127713,NaN,1162.39749648329,NaN
45,NaN,0.027405883658496,NaN,0.00105605864674625
50,0.0162514856383037,NaN,599.474481353624,NaN
55,NaN,0.0215624538958477,NaN,NaN
60,NaN,NaN,408.546647738756,0.000781562722735372
65,0.0131738066004348,NaN,NaN,NaN
70,NaN,NaN,525.805117904714,NaN
75,NaN,NaN,NaN,0.00077494325077335
80,0.00845065084874943,NaN,NaN,NaN
85,NaN,NaN,483.491800539356,NaN
95,NaN,NaN,NaN,0.000526422699443509
100,0.0134060581329155,NaN,380.662470579627,0.000249743357888457
150,NaN,NaN,NaN,0.000180879024194166
200,NaN,NaN,NaN,0.00012502793664127
