t,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,CISRNA_Obs,SOCS3nRNA4_Obs
0,8.45023987675813e-05,8.45633886537745e-05,7.15995394521735e-06,9.92378630435122e-08
7.5,NaN,0.0208206549471905,NaN,NaN
10,0.0300085926266497,NaN,NaN,8.66147043758233e-07
15,NaN,0.113881797717155,8.86968845034288e-06,NaN
20,0.0252062152065611,NaN,NaN,NaN
25,NaN,0.0224702469845841,NaN,1.65294305392315e-05
30,0.0150013672244639,NaN,0.000142717135425406,NaN
35,NaN,0.0197890897171849,NaN,2.38669235150584e-05
45,0.0118608933681795,0.0109020384203851,0.00116860365155,NaN
50,NaN,NaN,NaN,2.08329068786346e-05
55,0.00641786497192415,0.0114799761105686,NaN,NaN
65,NaN,NaN,0.000961411706948823,1.33578214516463e-05
70,NaN,0.00677351857700344,NaN,NaN
75,0.0113751289966439,NaN,NaN,NaN
80,NaN,NaN,NaN,1.70171135332321e-05
85,NaN,NaN,0.00236351068597348,NaN
90,0.008572319087293,0.00539726804746831,NaN,NaN
100,0.00729523612748894,NaN,0.00350417950960638,1.64937721317869e-05
150,0.00361974660244776,NaN,0.00130480316734668,1.28212413626137e-05
200,NaN,NaN,0.00170405259845395,7.87146759829142e-06
250,NaN,NaN,0.000999300996264821,1.12659341193023e-05
300,NaN,NaN,0.00154055829220847,NaN
