t,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,992.280476569427,66.849978063756,107.788170179401
4,NaN,NaN,740.575557718723
7.5,NaN,132.425036603214,NaN
8.5,NaN,NaN,711.97749872081
9.5,949.348807696742,NaN,NaN
15,NaN,204.837596294338,709.614016292007
20,855.935043046938,217.417637426866,619.042978559866
30,841.181198978943,239.987154814324,633.620436580352
35,NaN,NaN,567.876069253482
40,820.888901830969,267.241864527964,548.836663311893
50,752.241120054602,269.927297676694,589.512063703015
55,NaN,NaN,528.191852986551
60,NaN,264.798913772371,NaN
65,661.903417994956,NaN,595.468731876243
70,NaN,275.442394003435,NaN
80,711.673919149506,NaN,556.278517252871
85,NaN,262.001349869214,NaN
90,NaN,NaN,507.350303515206
100,644.288602915799,262.720233099719,501.267793795308
150,627.103370751215,242.016160133129,NaN
200,623.178539036392,227.287673809955,NaN
