t,Compound_1_Obs,Compound_5_Obs
0,9.74228456287364,-0.0626108855030764
8,8.60899563330924,NaN
10,NaN,0.204752324211259
15,8.40092884116781,NaN
20,NaN,0.390359229467811
25,7.91707969770745,NaN
30,NaN,0.541643853891568
35,6.96711486690959,NaN
40,NaN,0.848697520182432
45,7.49304432405072,NaN
55,NaN,1.03598390531028
60,6.64321049938984,NaN
70,NaN,1.19704686066192
75,7.08664371251488,NaN
85,NaN,1.60044077921128
90,6.66536637591881,NaN
100,6.46896955236372,1.79386466742911
150,NaN,2.7930748185083
200,NaN,3.41511084536726
