t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,9536.46209220887,10285.9888264679,122.638254373836,208.435521999657
5.5,NaN,NaN,NaN,6617.16035615039
7.5,NaN,NaN,722.651220782689,NaN
8,NaN,9238.67289899996,NaN,NaN
9.5,8604.10020874714,NaN,NaN,NaN
10,NaN,NaN,NaN,6024.71669512741
15,NaN,9013.57079265035,940.066405756114,NaN
20,7949.09019918068,NaN,NaN,6230.90219397215
25,NaN,9353.6427780429,1034.88621910551,6000.40531537235
30,8382.55406195107,9750.90583451874,1219.14842743043,6317.55923328766
40,8713.38639643008,8758.26830968082,1109.97200377372,5849.10271190704
50,8760.39474873363,8042.62192937584,1030.53962881096,6109.00034765985
60,NaN,NaN,1111.51674910788,6296.12750303035
65,8391.73967776451,7238.95237170919,NaN,NaN
70,NaN,NaN,NaN,5971.72660686545
75,NaN,8523.35081666701,1108.79591844643,NaN
80,8962.98139817914,NaN,NaN,NaN
85,NaN,NaN,NaN,6353.93686646101
90,NaN,9308.42340781642,1185.92825445481,NaN
100,8714.95362718525,8221.88654308816,1085.3938409691,6326.73142989237
150,7758.50784188623,7203.97811127908,1015.64181375877,5624.82733658741
200,7313.78648888693,7371.85228970609,1023.70566651814,NaN
