t,Rec_Obs,JAK2_Obs,pSTAT5_Obs
0,1.21059079281283,2.80810414226028,6.58837672721125
8.5,0.578834095202361,NaN,NaN
15,0.445590740784697,0.904988735868613,51.7852586765647
25,0.443814167829524,1.15550629457503,74.2139990639854
40,0.45048641581466,1.60472484592547,69.6848699682055
50,0.557681074219867,NaN,NaN
55,NaN,NaN,87.2399403140737
60,NaN,1.35575473519074,NaN
65,0.572156726778017,NaN,NaN
70,NaN,NaN,58.2428652223409
75,NaN,2.39801993122661,NaN
80,0.534401726180531,NaN,NaN
90,NaN,NaN,53.7734943323681
95,NaN,2.24602910083476,NaN
100,0.588594802825603,2.8414825107955,63.116878599857
150,NaN,2.77450012363023,37.7819191415689
200,NaN,2.47516471440636,22.1090214618358
250,NaN,2.71889001890987,33.3375413830926
300,NaN,NaN,27.8177854795533
