t,p_IL13_Rec_i_Obs,pSTAT5_Obs,SOCS3mRNA_Obs,DecoyR_Obs
0,0.0487489440852131,-7.39357037348615,35.871469272938,0.346218247365848
4,NaN,NaN,NaN,0.254159956887519
8.5,NaN,NaN,NaN,0.133429029016549
10,NaN,14.5812397414749,-155.782548268934,NaN
15,0.23818585947283,NaN,NaN,0.0901696591824574
20,NaN,NaN,38.365132484327,0.0423410933934499
25,0.35347951854702,46.1866029531616,NaN,0.0520615656625966
30,NaN,NaN,167.824816785648,0.0159912193514059
35,NaN,45.9852089545176,NaN,0.00147068867428635
40,0.315707968302044,NaN,NaN,NaN
45,NaN,NaN,279.123096132924,-0.00357661631312074
50,NaN,46.4530966937758,NaN,-0.000762644898446878
55,0.326063662891467,NaN,274.300907630536,NaN
60,NaN,NaN,NaN,0.00456621494778422
65,NaN,52.2847072113447,NaN,NaN
70,0.192316559867884,NaN,383.325242175775,NaN
75,NaN,NaN,NaN,-0.00122485592998549
80,NaN,47.7212261991004,NaN,NaN
90,0.251778574265699,NaN,489.818330653454,NaN
100,0.339200158315547,44.4053152642129,708.194080050212,NaN
150,0.27134956303472,18.0840005782354,996.172206366359,NaN
200,0.278494335903775,7.29813255589795,914.202740233566,NaN
250,0.300927670849875,19.8129036473938,1186.93583393718,NaN
300,0.33881516145707,11.2173399756851,1218.07743635967,NaN
