t,Rec_Obs,JAK2_Obs,DecoyR_Obs,Rec_i_Obs
0,1.42065546135007,3.20444952401976,0.374748260045944,338.740827380205
3.5,1.13845112010463,NaN,NaN,NaN
5.5,NaN,NaN,0.286491018196462,NaN
6.5,NaN,NaN,NaN,243.809044740521
7,NaN,2.89215336248387,NaN,NaN
7.5,0.852944894631044,NaN,NaN,NaN
10,0.752477939436995,NaN,0.341693879231417,NaN
15,0.948259259363814,2.46340900332877,NaN,244.024979127153
20,1.02507895847032,NaN,0.362707146575376,257.358562465425
25,0.692188353134789,2.00981667456413,0.367890988831098,NaN
30,NaN,NaN,NaN,353.971627101568
35,0.823673968605095,2.60808354018197,0.467068326967965,NaN
40,NaN,NaN,NaN,219.420984451246
45,NaN,2.70717602751439,NaN,NaN
50,NaN,NaN,NaN,180.662996558186
65,NaN,NaN,NaN,220.97522729078
80,NaN,NaN,NaN,283.590574608869
