t,Rec_Obs,p_IL13_Rec_i_Obs,JAK2_Obs,SOCS3mRNA_Obs
0,1.20576237604896,0.00119528956590611,2.50626574481671,-25.7688734629428
9,1.16257763592109,0.0491656470335735,NaN,NaN
10,NaN,NaN,NaN,0.733260510870889
15,NaN,NaN,2.48728722809412,NaN
20,0.856111232047707,0.0681684696887406,NaN,-10.2386392505111
30,1.01176140514814,0.0746158980236496,2.09018574406014,NaN
35,NaN,NaN,NaN,41.0133709699164
40,0.956309299841157,0.0830389729418683,NaN,NaN
45,NaN,NaN,3.28752030182641,94.128699063407
50,0.744791329314811,0.07796424168287,NaN,NaN
60,NaN,NaN,NaN,181.900211411863
65,0.875573151352242,0.0797545884565186,2.72586020729488,NaN
75,NaN,NaN,NaN,194.745063390923
80,0.705016440312559,NaN,NaN,NaN
85,NaN,0.0761623377606781,3.00659631907353,NaN
90,NaN,NaN,NaN,306.731704732683
95,0.869001192531774,NaN,NaN,NaN
100,0.836049503956288,0.0615703139880399,2.25153463743635,276.298768514969
150,0.813649406109922,0.0676872245509538,3.21761270671448,358.170750835344
200,NaN,NaN,2.72348706419271,428.518852416813
250,NaN,NaN,2.73436133482455,490.842605208548
300,NaN,NaN,3.55265536499758,633.467556752205
