t,PI4K3B_Obs,PI4K3Ba_Obs,CERT_Obs
0,4231709.41179196,5506701.78366986,1249716.18756744
3.5,4140561.06510933,6038917.09859429,1208748.24597266
7,NaN,9618506.35413828,3435322.57037602
7.5,3761494.21850413,NaN,NaN
10,4124451.53783923,9249765.35446635,5178225.9226234
15,3957132.0949388,13618727.0622873,7861786.10592639
20,4216668.20915287,15304264.3429172,9228450.61333665
25,4275509.51685831,15352441.9684413,12844574.7600983
30,4135802.74843162,17608284.5843755,14708998.1736089
35,NaN,17222426.247426,16267979.618364
40,4002917.56490803,NaN,NaN
45,4264861.33331371,15916544.8417144,17838609.1688848
55,4482729.12738619,20212354.3137106,20724064.4216699
65,4441120.10289989,20175637.3767555,22165469.2359726
