t,input_il6,nSTAT3_Obs
390,0.1,17.9388457479107
390,0.1,33.4920481489657
390,0.5,17.5159474423577
390,0.5,45.5411385316644
390,1,36.4503129601867
390,1,46.8394630832704
390,2.5,58.4084172702917
390,2.5,87.7204489248023
390,5,20.6629104340389
390,5,47.5260920333971
390,10,12.5075076853491
390,10,34.9509762217065
390,25,62.253565298154
390,25,68.3619505387795
390,50,57.3407782412351
390,50,62.6935206047175
390,100,31.2971085496667
390,100,34.8661318892595
390,500,90.9553864448654
390,500,163.900096444381
