t,input_il6,nSTAT3_Obs
2800,0.1,19.7951879052682
2800,0.1,19.7661868827261
2800,0.5,55.8256263817149
2800,0.5,53.7338416288511
2800,1,45.6974003367607
2800,1,17.1983003943235
2800,2.5,93.3005377973681
2800,2.5,31.8629072325531
2800,5,69.660048942699
2800,5,67.0863040250346
2800,10,52.3177442301425
2800,10,42.1706829946492
2800,25,57.4256425677508
2800,25,69.3139178552873
2800,50,94.3790812020864
2800,50,70.161027761673
2800,100,103.659836475926
2800,100,49.0267596337276
2800,500,113.014385383704
2800,500,51.8881064773605
