t,pJAK1_pgp130_Obs,nSTAT3_Obs,SOCS3RNA_Obs
0,0.00405767797709816,47.6152278291704,7.90170862995566e-05
85,NaN,13.7200130601892,NaN
90,NaN,NaN,0.000107272651959803
150,0.00282501425883064,39.6245461080927,NaN
200,NaN,NaN,3.31872827132061e-05
250,0.003533396414022,51.0554639536066,NaN
300,NaN,NaN,0.000129988099035228
400,0.00203292546847482,22.8960546586253,6.80137828001588e-05
500,NaN,49.3392752567661,NaN
550,NaN,NaN,0.000144707118688524
600,0.00229327518095145,NaN,NaN
650,NaN,27.2826942196086,NaN
700,NaN,NaN,0.000175322580492507
800,0.00228914436706967,NaN,NaN
850,NaN,34.423505062999,0.000161241572247096
1000,0.00259085228382097,40.3378722107215,6.93486436087745e-05
1500,0.001639289196402,NaN,NaN
