t,input_il6,nSTAT3_Obs
44,0,15.6558699821688
44,0,38.5020336624002
44,0.0005,41.3430969257131
44,0.0005,43.3965331993068
44,0.0005,51.8568160009465
44,0.0005,55.4804682389245
44,0.0005,58.4516780834169
44,0.0005,106.768204341331
44,0.005,14.9520540454374
44,0.005,18.5624987265607
44,0.005,21.4249531121892
44,0.005,28.0923792637962
44,0.005,35.435980580904
44,0.005,44.3802671381101
44,0.005,47.900206859716
44,0.005,53.2727590183562
44,0.05,25.142040920299
44,0.05,49.9915104954671
44,0.1,14.4602976115492
44,0.1,22.639374228335
44,0.1,29.2373450600656
44,0.1,33.6469743678265
44,0.1,33.8330827659998
44,0.1,42.3214178418042
44,0.1,44.2061434260811
44,0.1,69.8104300682023
44,0.5,34.7249287227225
44,0.5,38.4823167498753
44,0.5,42.0054736606948
44,0.5,72.1923291856832
44,1,22.5420084910179
44,1,35.1256516774998
44,1,43.2330317410743
44,1,43.77205391392
44,1,56.2801385560819
44,1,68.2958577087388
44,1,80.4137703030979
44,1,104.093944347116
44,2.5,18.1288726818769
44,2.5,23.5688274443759
44,2.5,32.9530691144583
44,2.5,45.7059565903345
44,2.5,52.0529842068089
44,2.5,86.5425816361219
44,5,29.2070452258135
44,5,51.768170655433
44,10,73.2207968872639
44,10,106.062375259629
44,25,41.622213437978
44,25,61.5468564317072
44,25,62.1163750840416
44,25,75.5201195183765
44,25,99.528888388415
44,25,101.262448712537
44,25,110.808416718408
44,25,184.668911208896
44,50,33.2865637497951
44,50,75.1710268655246
44,50,98.1814558251373
44,50,119.444345791582
44,50,126.228990512993
44,50,144.608344527056
44,50,199.395551463121
44,50,247.190313041769
44,100,121.907060179537
44,100,262.542574718958
44,200,67.0236690685024
44,200,85.8174191917753
44,200,99.1605888391373
44,200,99.8457576511234
44,200,153.978209275024
44,200,199.802730466917
44,500,134.377829226411
44,500,245.270159601965
