t,input_il6,nSTAT3_Obs
1400,0.1,30.1081081461173
1400,0.1,81.7977920595073
1400,0.5,55.5865181788148
1400,0.5,83.0739155232003
1400,1,22.1255604173971
1400,1,35.4692056056812
1400,2.5,42.0017221838842
1400,2.5,58.1076781836328
1400,5,32.9771174889265
1400,5,84.8435955719319
1400,10,31.0153461938156
1400,10,69.2155806043569
1400,25,30.3272208201111
1400,25,81.8033701246573
1400,50,38.3303072201036
1400,50,43.2706973732895
1400,100,27.6052821190655
1400,100,47.4194957303555
1400,500,80.6901949302029
1400,500,127.671269957281
