t,input_il6,nSTAT3_Obs
250,0.1,22.3588763825909
250,0.1,33.3807837956325
250,0.5,27.95610927769
250,0.5,30.092472758152
250,1,60.7826788129838
250,1,82.5434847959523
250,2.5,35.0870170055801
250,2.5,48.0000964425777
250,5,40.672448000721
250,5,67.7740012226957
250,10,38.8651795944812
250,10,51.5418239241736
250,25,32.406466249285
250,25,69.0801225407558
250,50,66.4283620609194
250,50,113.115629548404
250,100,55.1174438921131
250,100,62.3846946138761
250,500,114.187778134817
250,500,353.587261478894
