t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSTAT3_Obs,SOCS3RNA_Obs
0,0.000397825270940248,0.00503615849011508,35.0929664518574,0.00017093936899249
15,NaN,NaN,157.419336346513,NaN
20,0.0112380404583531,0.0448102984226059,NaN,NaN
30,NaN,NaN,NaN,0.00144415105201382
35,NaN,NaN,153.83952510666,NaN
40,0.0145057836960574,NaN,NaN,NaN
45,NaN,0.101325364893287,NaN,NaN
55,NaN,NaN,100.313885837758,NaN
60,0.0133520679372343,NaN,NaN,NaN
65,NaN,NaN,NaN,0.00210130413374871
70,NaN,0.0341599444921559,NaN,NaN
75,NaN,NaN,127.516482516879,NaN
80,0.00535480532156431,NaN,NaN,NaN
95,NaN,0.140743312712639,33.0818529730771,0.0020252965666475
100,0.00244663993530967,0.0727864421078099,165.07011787603,NaN
150,0.00177472240217148,0.0516479586406009,113.524707998308,0.000896235798239382
200,0.00853058890405382,0.125663991789948,169.776347100652,0.00133443736261801
250,0.00456719431105122,0.0480037912676016,83.7795011702236,0.00309907986413017
300,0.0121459629645055,0.0847417306800024,43.8813470182389,0.00133748647432172
350,NaN,0.0300262432969416,68.1661316159987,0.000888302543144618
450,NaN,0.0252665023086092,NaN,0.000450064761739452
