t,input_ruxolitinib,pJAK1_gp130_Obs
14,0,0.00027379855294517
14,10,0.000380489802389966
14,50,0.000447519212009151
14,50,0.000455558739568629
14,50,0.000489886376830095
14,50,0.000536756539879166
14,100,0.000540889081564827
14,200,0.000505284946823555
14,400,0.000657369779017673
14,500,0.000389602332397294
14,600,0.000166382909565202
14,800,0.000227338326998005
14,800,0.000304751919305955
14,800,0.000516080708130342
14,800,0.000593471810424384
14,1000,0.000124162045219524
14,2000,0.000292043152767825
14,5000,0.000120646228571539
