t,pApB_Obs,pApA_Obs,pBpB_Obs
0,0.0804838489246227,0,0
7.5,NaN,1.02800107616861e-05,NaN
9,NaN,NaN,1.98061635878588e-06
10,27.0549726616029,NaN,NaN
15,NaN,3.60023084017072e-06,NaN
20,NaN,NaN,1.00307932596594e-06
25,17.6974255964736,1.67287489904199e-06,NaN
30,NaN,NaN,2.93998139152514e-07
35,22.4724964866968,1.26333969488275e-06,NaN
40,NaN,NaN,2.54558068988365e-07
45,NaN,5.01061663057558e-07,NaN
50,24.0469818645541,NaN,NaN
55,NaN,NaN,1.12559910788964e-07
60,NaN,4.14585442715823e-07,NaN
65,15.5622041804156,NaN,NaN
70,NaN,NaN,5.11201560366188e-08
75,NaN,2.8183126747665e-07,NaN
80,12.2428173037909,NaN,NaN
85,NaN,NaN,3.04391339221145e-08
100,12.8989630926415,NaN,NaN
150,7.34083663495635,NaN,NaN
200,4.7252214865376,NaN,NaN
250,2.71842225599726,NaN,NaN
300,1.76332112074747,NaN,NaN
