t,pAC_Fsk_Obs,AC_Fsk_Obs
0,-0.18433031112963,-0.0125074927473797
7,0.0126821304605944,NaN
7.5,NaN,0.0176013294449733
15,0.0216735415056983,-0.0021966236842348
20,0.100841662139219,NaN
25,NaN,-0.00751558935815752
30,0.0491913314621167,NaN
35,-0.00302957358157568,-0.00695032221993807
45,0.0315251738629689,-0.00917701370124988
55,0.109286145146707,NaN
60,NaN,-0.00407301802709729
70,-0.160127586142007,NaN
75,NaN,0.263432045774889
80,-0.0792421465576543,NaN
90,NaN,0.264167557771804
100,0.0374999719746923,0.271381642625391
150,-0.0179419217724795,NaN
