t,RIIp_C_2_Obs,RIIp_Sp8_Br_cAMPS_C_2_Obs,pAC_Fsk_Obs
0,0.282031523971695,0.00337889555155101,-0.0451977572523849
3.5,0.0546871697809814,NaN,NaN
4.5,NaN,0.199492724633149,NaN
7,NaN,NaN,0.0498890981335757
7.5,0.0425401805222422,NaN,NaN
9.5,NaN,0.191415089383875,NaN
10,0.0238059180654234,NaN,NaN
15,0.011742967723128,0.189540922068493,0.046141280313545
20,0.0138874078996743,0.155091703856814,NaN
25,NaN,0.161262534242145,0.117875977979945
30,0.0165104351938527,0.166022789493086,NaN
35,0.0137354436586089,NaN,-0.0281900577755217
40,NaN,0.142845083585225,NaN
45,NaN,NaN,0.152297662213885
50,NaN,0.148851789710497,NaN
55,NaN,NaN,-0.0160981002620297
60,NaN,0.169560559337719,NaN
70,NaN,0.141982394903721,0.0573080605981347
80,NaN,0.137520974815917,NaN
100,NaN,0.139421171431148,NaN
