t,RIIp_C_2_Obs,pAC_Fsk_Obs
0,0.290854302115887,0.0721109852841385
9,NaN,0.0205740449534331
20,0.255635060705143,0.0164912738805173
30,NaN,0.00751346770338529
40,NaN,-0.0631896550407573
45,0.262035932589795,NaN
50,NaN,0.0154841883005372
65,0.0923753601079298,0.0473531630936734
80,NaN,0.109102666396065
90,0.0742580770193865,NaN
95,NaN,-0.0644203798430155
100,0.0757983939367579,-0.0552469157320785
150,0.0656332262928504,-0.103581251304568
200,0.0634275274219932,0.0107517250925367
250,0.0532226822118926,NaN
300,0.0297736298711908,NaN
