t,RIIp_C_2_Obs,pAC_Fsk_Obs,AC_Fsk_Obs
0,0.265912249380183,-0.0180472646748749,-0.134087614230609
3.5,NaN,-0.0395025048451878,NaN
5,0.276832616687638,NaN,NaN
7.5,NaN,0.0322882931104736,NaN
10,0.295041405410433,-0.078726383238329,NaN
15,0.283632480757437,-0.0611668315519227,0.0332912411749223
20,0.273501212502499,-0.225156124099959,NaN
30,0.268045562304374,0.0269406662720035,0.156588117164126
35,0.305920887360519,0.149290662948639,NaN
45,0.261906085545225,NaN,0.0192329940248028
55,0.268586000540287,NaN,NaN
60,NaN,NaN,0.0131722529639084
70,0.301615111791218,NaN,NaN
80,NaN,NaN,0.159856461002956
100,NaN,NaN,-0.0483217531696858
150,NaN,NaN,-0.00998598316755123
200,NaN,NaN,0.00510376972581008
250,NaN,NaN,-0.0130039123013793
