t,pAC_Fsk_Obs,AC_Fsk_Obs
0,0.0126503018022375,0.00209292657805467
8,NaN,0.00540619388093384
15,-0.0180242033072951,-0.00966219903095886
25,NaN,0.00283872023937429
30,-0.0348017732924007,NaN
35,NaN,-4.51199905759076e-05
45,-0.0352057685522876,0.000813076525209438
60,-0.0277507722385413,0.0117248949071785
75,NaN,0.269554806603269
80,0.189162820626316,NaN
95,NaN,0.266280961710871
100,0.0799692210411779,0.266369662379406
150,0.0641708645447777,NaN
200,-0.022161895046418,NaN
250,-0.036752095487851,NaN
