t,RIIp_C_2_Obs,pAC_Fsk_Obs
0,0.288822524654602,-0.00461925556073176
7.5,0.305927456314288,NaN
8,NaN,0.0685588896902867
15,0.283433662448156,-0.029725958176211
25,0.274858014601641,-0.155973641086651
30,0.29024170168496,NaN
35,NaN,-0.000493401532697177
40,0.306003341608403,NaN
45,NaN,-0.0469537784928255
50,0.259326420707354,NaN
55,NaN,0.00940092607458783
60,0.292007732312556,NaN
70,NaN,-0.0656718801656177
75,0.0262744000559387,NaN
85,0.0700861185156776,NaN
90,NaN,0.0960405569186679
100,0.0604636216948976,-0.0246385435423893
150,0.0673034305593186,0.0174005809444953
